Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,,,LNG,,Total
,,,,Electric,,,,
,,,,(stations|charging outlets),Hydrogen,,Propane,
Alabama,5,33,39,146 | 320,0,3,89,489
,,,,,,,,
Alaska,0,1,0,7|11,0,0,7,19
,,,,,,,,
Arizona,76,30,21,"432 | 1,066",0,8,89,1290
,,,,,,,,
Arkansas,4,16,43,62 | 113,0,1,40,217
,,,,,,,,
California,36,324,147,"4,657 | 16,538",42,44,295,17426
,,,,,,,,
Colorado,16,42,91,"555 | 1,383",1,1,56,1590
,,,,,,,,
Connecticut,2,21,4,355 | 788,2,1,20,838
,,,,,,,,
Delaware,1,1,1,37 | 102,1,0,9,115
,,,,,,,,
District of Columbia,7,2,3,96 | 259,1,0,0,272
,,,,,,,,
Florida,14,58,82,"1,114 | 2,505",0,3,140,2802
,,,,,,,,
Georgia,23,48,53,"692 | 1,900",0,4,92,2120
,,,,,,,,
Hawaii,8,1,2,275 | 626,4,0,5,646
,,,,,,,,
Idaho,2,11,5,76 | 170,0,2,31,221
,,,,,,,,
Illinois,14,47,270,"543 | 1,236",1,2,121,1691
,,,,,,,,
Indiana,6,34,204,198 | 403,0,1,185,833
,,,,,,,,
Iowa,9,9,247,117 | 258,0,0,33,556
,,,,,,,,
Kansas,3,23,20,194 | 742,0,1,38,827
,,,,,,,,
Kentucky,5,12,73,95 | 193,0,2,36,321
,,,,,,,,
Louisiana,7,25,12,88 | 195,0,1,75,315
,,,,,,,,
Maine,3,2,0,129 | 221,0,0,14,240
,,,,,,,,
Maryland,13,17,36,"541 | 1,341",0,1,34,1442
,,,,,,,,
Massachusetts,11,16,7,"582 | 1,503",2,1,34,1574
,,,,,,,,
Michigan,9,23,254,"550 | 1,210",2,0,103,1601
,,,,,,,,
Minnesota,7,25,372,294 | 760,0,0,48,1212
,,,,,,,,
Mississippi,4,7,5,57 | 116,0,2,91,225
,,,,,,,,
Missouri,3,22,94,"378 | 1,570",0,1,69,1759
,,,,,,,,
Montana,7,1,2,33 | 84,0,0,48,142
,,,,,,,,
Nebraska,2,11,95,63 | 159,0,1,27,295
,,,,,,,,
Nevada,4,6,19,228 | 614,0,1,31,675
,,,,,,,,
New Hampshire,4,4,0,100 | 195,0,0,29,232
,,,,,,,,
New Jersey,5,26,4,265 | 575,0,0,19,629
,,,,,,,,
New Mexico,5,14,11,61 | 167,0,1,59,257
,,,,,,,,
New York,34,84,72,"952 | 1,966",1,0,71,2228
,,,,,,,,
North Carolina,115,43,79,"594 | 1,374",0,1,92,1704
,,,,,,,,
North Dakota,2,1,41,10|15,0,0,24,83
,,,,,,,,
Ohio,14,59,164,377 | 775,3,6,92,1113
,,,,,,,,
Oklahoma,5,120,32,60 | 137,0,2,135,431
,,,,,,,,
Oregon,70,16,10,"562 | 1,363",0,2,57,1518
,,,,,,,,
Pennsylvania,7,77,75,382 | 778,0,3,104,1044
,,,,,,,,
Rhode Island,6,4,0,85 | 216,0,0,6,232
,,,,,,,,
South Carolina,24,13,64,241 | 489,2,1,49,642
,,,,,,,,
South Dakota,2,1,77,26 | 47,0,0,25,152
,,,,,,,,
Tennessee,27,22,81,"447 | 1,057",0,6,78,1271
,,,,,,,,
Texas,18,127,215,"1,068 | 2,719",1,23,470,3573
,,,,,,,,
Utah,1,79,1,144 | 388,0,6,46,521
,,,,,,,,
Vermont,2,3,0,172 | 435,0,0,2,442
,,,,,,,,
Virginia,10,23,31,"465 | 1,103",0,2,92,1261
,,,,,,,,
Washington,41,25,19,"798 | 2,145",0,2,88,2320
,,,,,,,,
West Virginia,2,3,33,69 | 199,0,0,10,247
,,,,,,,,
Wisconsin,5,56,157,283 | 497,0,1,74,790
,,,,,,,,
Wyoming,4,14,12,37 | 91,0,0,28,149
,,,,,,,,
Total,704,1682,3379,"19,792 | 53,117",63,137,3510,62592
,,,,"19,792 | 53,117",,,,
