Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Totald
,,,,(stations | charging outlets,(retail | non-retail | total),,(primary | secondary | total),
,,,,Level 1 | Level 2 | DC Fast),,,,
Alabama,10,30,29,223 | 596,0 | 0 | 0,2,24 | 45 | 69,736
,,,,56 | 449 | 91,,,,
Alaska,0,1,0,25 | 45,0 | 0 | 0,0,1|2|2003,49
,,,,0 | 41 | 4,,,,
Arizona,75,30,20,"574 | 1,778",0 | 1 | 1,7,28 | 50 | 78,"1,989"
,,,,"3 | 1,402 | 373",,,,
Arkansas,3,15,50,112 | 350,0 | 0 | 0,1,9|27|1936,455
,,,,2 | 296 | 52,,,,
California,27,322,198,"7,671 | 34,622",43 | 6 | 49,41,87 | 181 | 268,"35,527"
,,,,"496 | 28,634 | 5,448",,,,
Colorado,7,34,88,"1,062 | 3,234",0 | 1 | 1,0,12 | 41 | 53,"3,417"
,,,,"76 | 2,735 | 423",,,,
Connecticut,1,18,3,"456 | 1,240",1|1|2002,0,8|11|2019,"1,283"
,,,,70 | 926 | 242,,,,
Delaware,1,2,1,70 | 206,0 | 1 | 1,0,7|2|2009,220
,,,,2 | 131 | 73,,,,
District of Columbia,7,2,3,190 | 701,0 | 0 | 0,0,0 | 0 | 0,713
,,,,50 | 618 | 33,,,,
Florida,10,55,94,"1,822 | 5,519",0 | 0 | 0,3,24 | 89 | 113,"5,794"
,,,,"294 | 4,355 | 870",,,,
Georgia,6,51,66,"1,008 | 3,645",0 | 0 | 0,4,31 | 58 | 89,"3,861"
,,,,"239 | 2,914 | 492",,,,
Hawaii,7,0,2,320 | 760,1|1|2002,1,0 | 1 | 1,773
,,,,14 | 650 | 96,,,,
Idaho,0,11,5,113 | 281,0 | 0 | 0,0,10|17|2027,324
,,,,2 | 196 | 83,,,,
Illinois,19,38,284,"805 | 2,351",0 | 0 | 0,2,33 | 58 | 91,"2,785"
,,,,"38 | 1,918 | 395",,,,
Indiana,3,32,234,282 | 784,0 | 0 | 0,1,19 | 39 | 58,"1,112"
,,,,0 | 613 | 171,,,,
Iowa,10,12,315,187 | 486,0 | 0 | 0,0,13 | 19 | 32,855
,,,,27 | 307 | 152,,,,
Kansas,1,21,56,246 | 950,0 | 0 | 0,1,3 | 34 | 37,"1,066"
,,,,3 | 826 | 121,,,,
Kentucky,3,9,72,168 | 383,0 | 0 | 0,1,3|23|2026,494
,,,,8 | 307 | 68,,,,
Louisiana,1,22,18,141 | 360,0 | 0 | 0,1,8 | 43 | 51,453
,,,,18 | 274 | 68,,,,
Maine,2,2,0,220 | 518,0 | 0 | 0,0,2|7|2009,531
,,,,25 | 367 | 126,,,,
