State,EV_2021,Total Sales_2021,EV Share_2021,EV_2020,Total Sales_2020,EV Share_2020,EV_2019,Total Sales_2019,EV Share_2019,EV_2018,Total Sales_2018,EV Share_2018,EV_2017,Total Sales_2017,EV Share_2017,EV_2016,Total Sales_2016,EV Share_2016
Alabama,4700.0,4715600.0,0.09966918313682246,2900.0,4641600.0,0.06247845570492933,2000.0,4548900.0,0.04396667326166766,1300.0,4430700.0,0.029340736226781322,800.0,4409900.0,0.018141000929726297,500.0,4382700.0,0.011408492481803454
Alaska,1300.0,562800.0,0.23098791755508175,900.0,574700.0,0.15660344527579606,700.0,587900.0,0.11906786868515054,500.0,597800.0,0.08364001338240214,400.0,619700.0,0.06454736162659351,200.0,636700.0,0.03141196795979268
Arizona,40700.0,6288700.0,0.6471925835228266,28800.0,6182200.0,0.46585357963184626,19500.0,6118700.0,0.31869514766208507,12600.0,5929600.0,0.21249325418240692,7200.0,5738000.0,0.12547926106657373,4700.0,5528100.0,0.0850201696785514
Arkansas,2400.0,2679900.0,0.08955558043210568,1300.0,2629600.0,0.049437176756921206,900.0,2578200.0,0.03490807540144287,600.0,2573400.0,0.023315458148752622,300.0,2581900.0,0.011619350091018242,200.0,2547500.0,0.007850834151128557
California,563100.0,34990100.0,1.6093123483499618,425300.0,34222800.0,1.2427387589560177,349700.0,33535000.0,1.0427911137617414,273500.0,32684700.0,0.8367829596110719,189700.0,31877400.0,0.5950924479411747,141500.0,30581200.0,0.4627025754385047
Colorado,37000.0,5232900.0,0.7070649162032525,24700.0,5103400.0,0.48399106478034254,19200.0,5175800.0,0.37095714672127983,12500.0,5053700.0,0.2473435304826167,8000.0,4992400.0,0.16024357022674465,5300.0,4861800.0,0.10901312271175286
Connecticut,13300.0,2850500.0,0.4665848096825118,9000.0,2896700.0,0.310698380916215,6900.0,2945000.0,0.23429541595925296,5000.0,2943200.0,0.16988312041315576,3000.0,3007700.0,0.09974399042457692,2000.0,2962600.0,0.06750826976304597
Delaware,3000.0,904300.0,0.33174831361273915,1900.0,907400.0,0.20938946440379105,1300.0,888100.0,0.1463799121720527,800.0,871700.0,0.09177469312836985,400.0,860500.0,0.046484601975595584,300.0,848700.0,0.03534817956875221
District of Columbia,3700.0,321100.0,1.1522890065400186,2400.0,317100.0,0.7568590350047304,1800.0,328200.0,0.5484460694698354,1100.0,333300.0,0.33003300330033003,800.0,328800.0,0.24330900243309003,600.0,311800.0,0.19243104554201412
Florida,95600.0,17632200.0,0.5421898571930899,58200.0,17214400.0,0.33808904173250304,40300.0,16932000.0,0.23801086699740137,27400.0,16639100.0,0.16467236809683217,15900.0,16222000.0,0.09801504130193564,11600.0,15698200.0,0.07389382222165598
Georgia,34000.0,9318500.0,0.3648655899554649,23500.0,9000200.0,0.2611053087709162,19000.0,8831800.0,0.21513168323558052,15900.0,8726000.0,0.18221407288562916,14400.0,8583900.0,0.16775591514346624,18000.0,8430400.0,0.213513000569368
Hawaii,14200.0,1076500.0,1.3190896423594984,10700.0,1060300.0,1.0091483542393662,8800.0,1082900.0,0.8126327454058546,6600.0,1073800.0,0.6146395976904452,5400.0,1059800.0,0.5095301000188714,4200.0,1044200.0,0.40222179659069146
Idaho,3500.0,1881700.0,0.18600201945049688,2300.0,1831500.0,0.12558012558012557,1600.0,1784800.0,0.08964589870013447,1100.0,1734300.0,0.06342616617655539,700.0,1672800.0,0.04184600669536107,400.0,1614500.0,0.024775472282440383
Illinois,36500.0,9968100.0,0.3661680761629598,26000.0,10143600.0,0.25631925549114715,19300.0,10250100.0,0.1882908459429664,13600.0,10144800.0,0.13405882816812553,8300.0,10134500.0,0.08189846563717992,5800.0,10094900.0,0.057454754380925024
Indiana,10400.0,6036100.0,0.17229668163217973,7000.0,5975800.0,0.1171391278155226,5100.0,5902100.0,0.08640992189220786,3400.0,5835300.0,0.058266070296300106,1900.0,5770000.0,0.03292894280762565,1300.0,5659400.0,0.02297063292928579
Iowa,3700.0,3051100.0,0.12126773950378553,2300.0,3038200.0,0.07570271871502864,1600.0,3014400.0,0.05307855626326964,1100.0,2988400.0,0.036808994779815286,600.0,2974900.0,0.020168745167904803,400.0,2935500.0,0.01362629875660024
Kansas,4500.0,2572900.0,0.1748999183800381,3100.0,2564500.0,0.12088126340417235,2300.0,2553800.0,0.09006186858798652,1700.0,2522400.0,0.06739613066920393,1000.0,2514100.0,0.039775665248001274,600.0,2477600.0,0.024216984178237002
Kentucky,4200.0,3988200.0,0.10531066646607493,2600.0,3930700.0,0.0661459790876943,1900.0,3934700.0,0.048288306605332044,1200.0,3898300.0,0.03078264884693328,700.0,3871900.0,0.018078979312482243,500.0,3784400.0,0.013212134023887538
Louisiana,3200.0,3799300.0,0.08422604163924934,2000.0,3793100.0,0.0527273206612006,1400.0,3777800.0,0.03705860553761448,900.0,3762600.0,0.023919630043055334,600.0,3753800.0,0.01598380307954606,400.0,3699900.0,0.010811103002783859
