,Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,VehClass,Smog Rating,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,year,Cert Region,Air Pollution Score,CO2Emissions(g/m)
21,BMW i3 BEV,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GBMXV00.0I3B,COMPACT,10,137,111,124,10,Elite,2016,0,0,3.659742829
22,BMW i3 BEV,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GBMXV00.0I3B,COMPACT,10,137,111,124,10,Elite,2016,0,0,3.659742829
33,BYD e6,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GBYDV0000001,SUV,10,73,71,72,10,Elite,2016,0,0,2.340916584
96,CHEVROLET Spark EV,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GGMXV00.0001,COMPACT,10,128,109,119,10,Elite,2016,0,0,3.593801517
97,CHEVROLET Spark EV,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GGMXV00.0001,COMPACT,10,128,109,119,10,Elite,2016,0,0,3.593801517
123,FIAT 500e,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GCRXV00.05PR,COMPACT,10,121,103,112,10,Elite,2016,0,0,3.39597758
124,FIAT 500e,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GCRXV00.05PR,COMPACT,10,121,103,112,10,Elite,2016,0,0,3.39597758
149,FORD Focus Electric,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GFMXV00.0VAE,COMPACT,10,110,99,105,10,Elite,2016,0,0,3.264094955
150,FORD Focus Electric,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GFMXV00.0VAE,COMPACT,10,110,99,105,10,Elite,2016,0,0,3.264094955
232,HYUNDAI Tuscon Fuel Cell,0,0,Auto-1,2WD,Hydrogen,FA,B1,Federal Tier 2 Bin 1,GHYXV00.01YW,SUV,10,49,51,50,10,Elite,2016,0,0,1.681503462
233,HYUNDAI Tuscon Fuel Cell,0,0,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,GHYXV00.01YW,SUV,10,49,51,50,10,Elite,2016,0,0,1.681503462
261,KIA Soul Electric,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GKMXV00.04VW,VAN,10,120,92,105,10,Elite,2016,0,0,3.033300363
262,KIA Soul Electric,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GKMXV00.04VW,VAN,10,120,92,105,10,Elite,2016,0,0,3.033300363
314,MERCEDES-BENZ B250e,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GMBXV00.0ED2,MID-SIZE,10,85,82,84,10,Elite,2016,0,0,2.703593802
315,MERCEDES-BENZ B250e,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GMBXV00.0ED2,MID-SIZE,10,85,82,84,10,Elite,2016,0,0,2.703593802
351,MITSUBISHI i-MiEV,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GMTXV00.0EAT,COMPACT,10,126,99,112,10,Elite,2016,0,0,3.264094955
352,MITSUBISHI i-MiEV,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GMTXV00.0EAT,COMPACT,10,126,99,112,10,Elite,2016,0,0,3.264094955
358,NISSAN Leaf,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GNSXV0000LLA,MID-SIZE,10,126,101,114,10,Elite,2016,0,0,3.330036268
359,NISSAN Leaf,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GNSXV0000LLA,MID-SIZE,10,126,101,114,10,Elite,2016,0,0,3.330036268
360,NISSAN Leaf,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GNSXV0000LLB,MID-SIZE,10,124,101,112,10,Elite,2016,0,0,3.330036268
361,NISSAN Leaf,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GNSXV0000LLB,MID-SIZE,10,124,101,112,10,Elite,2016,0,0,3.330036268
388,SMART ForTwo Cabriolet,0,0,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GMBXV00.0ED1,COMPACT,10,122,93,107,10,Elite,2016,0,0,3.066271019
389,SMART ForTwo Cabriolet,0,0,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GMBXV00.0ED1,COMPACT,10,122,93,107,10,Elite,2016,0,0,3.066271019
