Type,Fuel Consumption Comb (mpg),CO2 Emissions(g/m),Car Technology
COMPACT,33,315.43064,TV
COMPACT,29,355.66414,TV
COMPACT,48,218.87024,TV
SUV,25,410.3817,TV
SUV,27,392.67896,TV
MID-SIZE,28,370.1482,TV
MID-SIZE,28,373.36688,TV
MID-SIZE,25,410.3817,TV
MID-SIZE,24,429.69378,TV
COMPACT,31,341.18008,TV
COMPACT,29,362.1015,TV
COMPACT,27,384.63226,TV
TWO-SEATER,34,310.60262,TV
COMPACT,18,577.75306,TV
COMPACT,18,577.75306,TV
TWO-SEATER,19,543.95692,TV
TWO-SEATER,18,569.70636,TV
TWO-SEATER,19,543.95692,TV
TWO-SEATER,18,569.70636,TV
COMPACT,18,577.75306,TV
COMPACT,32,325.08668,TV
COMPACT,28,370.1482,TV
COMPACT,30,344.39876,TV
COMPACT,28,370.1482,TV
COMPACT,28,370.1482,TV
COMPACT,30,344.39876,TV
MID-SIZE,28,378.1949,TV
MID-SIZE,26,403.94434,TV
MID-SIZE,35,349.22678,TV
MID-SIZE,25,421.64708,TV
MID-SIZE,35,349.22678,TV
MID-SIZE,25,415.20972,TV
MID-SIZE,25,426.4751,TV
MID-SIZE,34,360.49216,TV
FULL-SIZE,25,415.20972,TV
FULL-SIZE,23,463.48992,TV
FULL-SIZE,18,584.19042,TV
FULL-SIZE,34,360.49216,TV
SUV,27,389.46028,TV
SUV,27,384.63226,TV
SUV,25,415.20972,TV
SUV,31,392.67896,TV
SUV,31,341.18008,TV
SUV,21,489.23936,TV
SUV,26,466.7086,TV
TWO-SEATER,19,540.73824,TV
TWO-SEATER,16,655.00138,TV
TWO-SEATER,19,558.44098,TV
TWO-SEATER,16,658.22006,TV
TWO-SEATER,19,540.73824,TV
TWO-SEATER,16,655.00138,TV
TWO-SEATER,19,558.44098,TV
TWO-SEATER,16,658.22006,TV
COMPACT,21,492.45804,TV
COMPACT,21,495.67672,TV
MID-SIZE,23,471.53661999999997,TV
COMPACT,25,421.64708,TV
COMPACT,23,458.6619,TV
COMPACT,25,421.64708,TV
COMPACT,23,458.6619,TV
COMPACT,24,429.69378,TV
MID-SIZE,23,452.22454,TV
MID-SIZE,23,452.22454,TV
MID-SIZE,22,482.802,TV
SUV,22,469.92728,TV
COMPACT,31,336.35206,TV
TWO-SEATER,31,336.35206,TV
COMPACT,27,381.41358,TV
TWO-SEATER,27,381.41358,TV
COMPACT,21,505.33276,TV
COMPACT,18,572.92504,TV
COMPACT,20,534.30088,TV
COMPACT,17,611.5492,TV
COMPACT,17,611.5492,TV
MID-SIZE,17,624.42392,TV
MID-SIZE,15,703.28158,TV
COMPACT,34,310.60262,TV
COMPACT,32,321.868,TV
COMPACT,32,325.08668,TV
COMPACT,42,291.29054,TV
SUV,42,291.29054,TV
COMPACT,34,310.60262,TV
COMPACT,32,321.868,TV
COMPACT,31,336.35206,TV
FULL-SIZE,31,336.35206,TV
SUV,31,336.35206,TV
COMPACT,29,355.66414,TV
COMPACT,28,370.1482,TV
COMPACT,29,366.92952,TV
COMPACT,27,381.41358,TV
FULL-SIZE,28,373.36688,TV
COMPACT,34,310.60262,TV
COMPACT,32,321.868,TV
COMPACT,31,336.35206,TV
COMPACT,29,355.66414,TV
COMPACT,28,370.1482,TV
COMPACT,29,366.92952,TV
COMPACT,27,381.41358,TV
MID-SIZE,32,325.08668,TV
MID-SIZE,31,336.35206,TV
MID-SIZE,36,342.78942,TV
MID-SIZE,28,373.36688,TV
FULL-SIZE,26,395.89764,TV
MID-SIZE,23,452.22454,TV
FULL-SIZE,22,469.92728,TV
COMPACT,28,373.36688,TV
COMPACT,22,469.92728,TV
COMPACT,23,452.22454,TV
COMPACT,22,469.92728,TV
FULL-SIZE,26,395.89764,TV
FULL-SIZE,22,469.92728,TV
FULL-SIZE,22,469.92728,TV
FULL-SIZE,18,572.92504,TV
COMPACT,34,307.38394,TV
MID-SIZE,30,344.39876,TV
FULL-SIZE,31,341.18008,TV
FULL-SIZE,22,469.92728,TV
FULL-SIZE,22,469.92728,TV
MID-SIZE,19,543.95692,TV
MID-SIZE,20,510.16078,TV
COMPACT,19,543.95692,TV
COMPACT,20,510.16078,TV
COMPACT,19,543.95692,TV
COMPACT,20,510.16078,TV
COMPACT,19,543.95692,TV
COMPACT,20,510.16078,TV
SUV,31,336.35206,TV
SUV,25,418.4284,TV
SUV,28,370.1482,TV
SUV,26,407.16302,TV
SUV,25,410.3817,TV
SUV,20,514.9888,TV
SUV,18,595.4558,TV
SUV,24,440.95916,TV
SUV,20,521.42616,TV
TWO-SEATER,31,336.35206,TV
TWO-SEATER,32,321.868,TV
TWO-SEATER,23,447.39652,TV
TWO-SEATER,26,407.16302,TV
TWO-SEATER,23,447.39652,TV
SUV,23,455.44322,TV
SUV,22,466.7086,TV
SUV,33,315.43064,TV
SUV,31,341.18008,TV
MID-SIZE,25,424.86576,TV
MID-SIZE,18,402.335,TV
MID-SIZE,25,424.86576,TV
MID-SIZE,17,424.86576,TV
MID-SIZE,34,304.16526,TV
MID-SIZE,29,366.92952,TV
MID-SIZE,29,362.1015,TV
MID-SIZE,26,395.89764,TV
MID-SIZE,34,304.16526,TV
COMPACT,29,366.92952,TV
COMPACT,29,362.1015,TV
COMPACT,30,350.83612,TV
COMPACT,29,355.66414,TV
COMPACT,28,378.1949,TV
COMPACT,31,333.13338,TV
COMPACT,26,403.94434,TV
COMPACT,28,373.36688,TV
COMPACT,25,418.4284,TV
MID-SIZE,25,415.20972,TV
MID-SIZE,25,421.64708,TV
MID-SIZE,28,373.36688,TV
MID-SIZE,26,399.11632,TV
MID-SIZE,26,399.11632,TV
MID-SIZE,25,418.4284,TV
MID-SIZE,22,473.14596,TV
SUV,26,407.16302,TV
SUV,25,418.4284,TV
SUV,25,410.3817,TV
SUV,25,421.64708,TV
MID-SIZE,17,614.76788,TV
MID-SIZE,19,547.1756,TV
MID-SIZE,17,614.76788,TV
MID-SIZE,19,547.1756,TV
SUV,17,614.76788,TV
SUV,19,547.1756,TV
SUV,19,543.95692,TV
SUV,14,518.20748,TV
SUV,17,606.72118,TV
SUV,13,569.70636,TV
SUV,23,455.44322,TV
SUV,22,473.14596,TV
FULL-SIZE,25,421.64708,TV
FULL-SIZE,24,436.13114,TV
FULL-SIZE,22,466.7086,TV
COMPACT,25,415.20972,TV
COMPACT,24,432.91246,TV
COMPACT,27,389.46028,TV
COMPACT,22,473.14596,TV
COMPACT,22,469.92728,TV
COMPACT,17,614.76788,TV
COMPACT,19,547.1756,TV
TWO-SEATER,24,444.17784,TV
TWO-SEATER,25,415.20972,TV
MID-SIZE,36,288.07186,TV
MID-SIZE,36,288.07186,TV
MID-SIZE,32,325.08668,TV
MID-SIZE,34,304.16526,TV
MID-SIZE,40,308.99328,TV
MID-SIZE,37,284.85318,TV
MID-SIZE,40,262.32242,TV
SUV,31,336.35206,TV
SUV,24,444.17784,TV
SUV,17,416.81906,TV
SUV,28,370.1482,TV
SUV,22,466.7086,TV
SUV,17,437.74048,TV
VAN,19,558.44098,TV
VAN,18,589.0184399999999,TV
VAN,14,537.51956,TV
VAN,17,611.5492,TV
VAN,13,553.61296,TV
VAN,17,611.5492,TV
VAN,13,553.61296,TV
VAN,17,611.5492,TV
VAN,12,582.58108,TV
VAN,17,611.5492,TV
VAN,13,553.61296,TV
VAN,17,611.5492,TV
VAN,12,582.58108,TV
VAN,16,666.26676,TV
VAN,15,695.23488,TV
VAN,11,661.43874,TV
VAN,16,674.31346,TV
VAN,15,700.0629,TV
VAN,11,664.65742,TV
FULL-SIZE,29,355.66414,TV
FULL-SIZE,27,392.67896,TV
FULL-SIZE,20,368.53886,TV
FULL-SIZE,32,321.868,TV
MID-SIZE,29,366.92952,TV
MID-SIZE,35,296.11856,TV
SUV,27,392.67896,TV
SUV,28,378.1949,TV
TRUCK,24,436.13114,TV
TRUCK,17,432.91246,TV
TRUCK,22,469.92728,TV
TRUCK,17,434.5218,TV
TRUCK,20,521.42616,TV
TRUCK,22,466.7086,TV
TRUCK,16,458.6619,TV
TRUCK,22,481.19266,TV
TRUCK,16,445.78718,TV
TRUCK,20,529.47286,TV
COMPACT,35,296.11856,TV
COMPACT,38,278.41582,TV
COMPACT,34,307.38394,TV
COMPACT,36,292.89988,TV
COMPACT,34,307.38394,TV
COMPACT,35,296.11856,TV
MID-SIZE,35,296.11856,TV
MID-SIZE,38,276.80648,TV
MID-SIZE,34,307.38394,TV
MID-SIZE,36,292.89988,TV
MID-SIZE,34,307.38394,TV
MID-SIZE,35,296.11856,TV
COMPACT,41,255.88506,TV
COMPACT,41,255.88506,TV
SUV,20,510.16078,TV
SUV,15,473.14596,TV
SUV,20,510.16078,TV
