Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (MPG),Fuel Consumption Hwy (MPG),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/m)
ACURA,ILX,COMPACT,2.0,4,AS5,Z,23.759090909090908,35.10671641791045,8.5,33,315.43064
ACURA,ILX,COMPACT,2.4,4,M6,Z,21.001339285714288,30.5474025974026,9.6,29,355.66414
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,39.2025,40.55431034482759,5.9,48,218.87024
ACURA,MDX 4WD,SUV,3.5,6,AS6,Z,18.520866141732284,25.8478021978022,11.1,25,410.3817
ACURA,RDX AWD,SUV,3.5,6,AS6,Z,19.43925619834711,27.036206896551725,10.6,27,392.67896
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,19.76596638655462,30.5474025974026,10.0,28,370.1482
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,19.933474576271184,29.03888888888889,10.1,28,373.36688
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,18.376171875,26.135,11.1,25,410.3817
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,17.553358208955224,24.759473684210526,11.6,24,429.69378
ACURA,TSX,COMPACT,2.4,4,AS5,Z,22.190094339622643,31.362000000000002,9.2,31,341.18008
ACURA,TSX,COMPACT,2.4,4,M6,Z,21.001339285714288,29.03888888888889,9.8,29,362.1015
ACURA,TSX,COMPACT,3.5,6,AS5,Z,19.43925619834711,28.33915662650602,10.4,27,384.63226
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,24.24896907216495,34.08913043478261,8.4,34,310.60262
ASTON MARTIN,DB9,COMPACT,5.9,12,A6,Z,13.0675,18.667857142857144,15.6,18,577.75306
ASTON MARTIN,RAPIDE,COMPACT,5.9,12,A6,Z,13.0675,18.667857142857144,15.6,18,577.75306
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,13.518103448275863,20.815486725663717,14.7,19,543.95692
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,12.995303867403313,19.279918032786888,15.4,18,569.70636
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,13.518103448275863,20.815486725663717,14.7,19,543.95692
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,12.995303867403313,19.279918032786888,15.4,18,569.70636
ASTON MARTIN,VANQUISH,COMPACT,5.9,12,A6,Z,13.0675,18.667857142857144,15.6,18,577.75306
AUDI,A4,COMPACT,2.0,4,AV8,Z,23.759090909090908,31.78581081081081,8.8,32,325.08668
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,20.453478260869566,29.03888888888889,10.0,28,370.1482
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,21.779166666666665,31.362000000000002,9.3,30,344.39876
AUDI,A5 CABRIOLET QUATTRO,COMPACT,2.0,4,AS8,Z,20.453478260869566,29.03888888888889,10.0,28,370.1482
AUDI,A5 QUATTRO,COMPACT,2.0,4,AS8,Z,20.453478260869566,29.03888888888889,10.0,28,370.1482
AUDI,A5 QUATTRO,COMPACT,2.0,4,M6,Z,21.779166666666665,31.362000000000002,9.3,30,344.39876
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,19.60125,29.03888888888889,10.2,28,378.1949
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,18.376171875,27.35058139534884,10.9,26,403.94434
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,24.001530612244895,37.93790322580645,8.1,35,349.22678
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,17.68533834586466,27.67235294117647,11.2,25,421.64708
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,24.001530612244895,37.93790322580645,8.1,35,349.22678
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,17.955343511450383,26.72897727272727,11.2,25,415.20972
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,17.168978102189783,28.33915662650602,11.3,25,426.4751
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,24.001530612244895,36.18692307692308,8.4,34,360.49216
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,17.955343511450383,26.72897727272727,11.2,25,415.20972
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,16.001020408163267,24.24896907216495,12.5,23,463.48992
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,12.578342245989305,20.453478260869566,15.5,18,584.19042
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,24.001530612244895,36.18692307692308,8.4,34,360.49216
AUDI,ALLROAD QUATTRO,SUV,2.0,4,AS8,Z,19.933474576271184,26.72897727272727,10.5,27,389.46028
AUDI,Q5,SUV,2.0,4,AS8,Z,19.60125,27.67235294117647,10.4,27,384.63226
AUDI,Q5,SUV,3.0,6,AS8,Z,18.233720930232558,25.56684782608696,11.2,25,415.20972
AUDI,Q5 TDI (modified),SUV,3.0,6,AS8,D,23.06029411764706,30.15576923076923,9.0,31,392.67896
