Model Full,Displ,Cyl,Trans,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Make,Model
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,large car,7,30,37,33,6,No,269,ACURA,Integra
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,large car,7,29,36,32,6,No,277,ACURA,Integra A-Spec
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,large car,6,26,36,30,6,No,293,ACURA,Integra A-Spec
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,small SUV,5,19,26,22,5,No,411,ACURA,MDX
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,small SUV,5,19,25,21,4,No,423,ACURA,MDX
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,standard SUV,5,17,21,19,4,No,474,ACURA,MDX Type-S
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,small SUV,6,22,28,24,5,No,370,ACURA,RDX
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,small SUV,6,21,27,23,5,No,385,ACURA,RDX
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,small SUV,6,22,27,24,5,No,375,ACURA,RDX A-SPEC
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,small SUV,6,21,26,23,5,No,388,ACURA,RDX A-SPEC
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,small car,7,22,31,25,5,No,352,ACURA,TLX
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,small car,7,21,29,24,5,No,369,ACURA,TLX
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,small car,7,21,29,24,5,No,371,ACURA,TLX AWD A-SPEC
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,small car,7,22,30,25,5,No,357,ACURA,TLX FWD A-SPEC
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,small car,5,19,25,21,4,No,420,ACURA,TLX Type-S
